Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
140035963,,15970 LOS SERRANOS COUNTRY CLUB DR ,CHINO HILLS,XXXXX,CA,33.9614046,117.6954576
140010304,,8017 S ATLANTIC AVE ,CUDAHY,XXXXX,CA,33.961409,118.1870494
140016220,,8116 CALIFORNIA AVE ,SOUTH GATE,XXXXX,CA,33.9617865,118.2042939
140017939,,6380 FLORENCE AVE ,BELL,XXXXX,CA,33.9640349,118.1509425
140004994,,8137 S VERMONT ST ,LOS ANGELES,XXXXX,CA,33.96475,118.292178
140042912,,2633 SANTA ANA ST ,SOUTH GATE,XXXXX,CA,33.9649633,118.2241263
140002429,,13003 WHITTIER BLVD ,WHITTIER,XXXXX,CA,33.9668293,118.036683
140001841,,15757 MAIN ST ,HESPERIA,XXXXX,CA,33.967514,117.6231999
140003405,,23575 SUNNYMEAD RANCH PKWY ,MORENO VALLEY,XXXXX,CA,33.967908,117.2538945
140003495,,9320 SLAUSON AVE ,PICO RIVERA,XXXXX,CA,33.968349,118.0979112
140012165,,6571 W 80TH ST ,LOS ANGELES,XXXXX,CA,33.9693258,118.4054479
140004977,,5029 E FLORENCE AVE ,BELL,XXXXX,CA,33.9705657,118.1768832
140002729,,6901 EASTERN AVE ,BELL GARDENS,XXXXX,CA,33.9706927,118.1661175
140017710,,7316 COMPTON AVE ,LOS ANGELES,XXXXX,CA,33.9731093,118.2469976
140045367,,6400 GARFIELD AVE ,BELL GARDENS,XXXXX,CA,33.9732818,118.1469236
100103432,,3111 E FLORENCE AVE ,HUNTINGTON PARK,XXXXX,CA,33.9733232,118.2118873
100068177,,6750 KIMBALL AVE ,CHINO,XXXXX,CA,33.9735325,117.6544852
100009100,,7224 S VERMONT AVE ,LOS ANGELES,XXXXX,CA,33.9738129,118.2911517
140002750,,3900 CHICAGO AVE ,RIVERSIDE,XXXXX,CA,33.9741856,117.3476513
100038167,,8844 LIMONITE AVE ,RIVERSIDE,XXXXX,CA,33.9742744,117.4768357
140002799,,7810 NORWALK BLVD ,WHITTIER,XXXXX,CA,33.9744327,118.074148
140042997,,12660 LIMONITE AVE ,CORONA,XXXXX,CA,33.9744335,117.5599465
100072483,,310 E FLORENCE AVE ,LOS ANGELES,XXXXX,CA,33.9744562,118.2682851
140001832,,11070 LIMONITE AVE ,MIRA LOMA,XXXXX,CA,33.974855,117.524859
140020821,,950 N LN BREA AVE ,INGLEWOOD,XXXXX,CA,33.9754787,118.3569435
140043198,,7000 ALAMEDA ST ,HUNTINGTON PARK,XXXXX,CA,33.9759155,118.2341141
140006537,,6921 LA TIJERA BLVD ,LOS ANGELES,XXXXX,CA,33.9760305,118.3742313
140006269,,6170 HAMNER AVE ,MIRA LOMA,XXXXX,CA,33.9765251,117.5578394
140005094,,1575 CENTINELA AVE ,INGLEWOOD,XXXXX,CA,33.9766097,118.3663065
140002742,,6920 SANTA FE AVE ,HUNTINGTON PARK,XXXXX,CA,33.9766306,118.2296135
100092805,,13346 LIMONITE AVE ,EASTVALE,XXXXX,CA,33.9766561,117.5742561
100001830,,7200 DOMINION CIRLCE ,COMMERCE,XXXXX,CA,33.9768126,118.1365891
140001834,,7770 LIMONITE AVE ,RIVERSIDE,XXXXX,CA,33.9773662,117.4524593
100004398,,6701 WILSON AVE ,LOS ANGELES,XXXXX,CA,33.9780861,118.2385914
140043313,,12471 LIMONITE AVE ,MIRA LOMA,XXXXX,CA,33.9783777,117.5541707
140021887,,5245 W CENTINELA AVE ,LOS ANGELES,XXXXX,CA,33.9790779,118.3719437
140013291,,4700 ADMIRALTY WAY ,MARINA DEL REY,XXXXX,CA,33.9797916,118.4389807
140001724,,11750 WHITTIER BLVD ,WHITTIER,XXXXX,CA,33.9799649,118.0519127
140003438,,11825 WHITTIER BLVD ,WHITTIER,XXXXX,CA,33.9820497,118.0496205
140041063,,1401 EAST GAGE AVE ,LOS ANGELES,XXXXX,CA,33.9822985,118.2501497
140047516,,1301 E GAGE AVE ,LOS ANGELES,XXXXX,CA,33.9824892,118.2514745
140028935,,6201 S ALAMEDA ,LOS ANGELES,XXXXX,CA,33.9835268,118.2375815
200790862,,8580 MERCURY LN ,PICO RIVERA,XXXXX,CA,33.9837322,118.1051477
140002427,,5750 MESMER AVE ,CULVER CITY,XXXXX,CA,33.9841108,118.3978713
140029764,,4311 LINCOLN BLVD ,MARINA DEL REY,XXXXX,CA,33.9841848,118.4437632
140038377,,4200 CHINO HILLS PKWY ,CHINO HILLS,XXXXX,CA,33.9843885,117.7144368
140039497,,8500 WASHINGTON BLVD ,PICO RIVERA,XXXXX,CA,33.9849246,118.1051342
140037616,,6250 S BOYLE AVE ,VERNON,XXXXX,CA,33.9849496,118.2120932
140006539,,4365 GLENCOE AVE ,MARINA DEL REY,XXXXX,CA,33.9850466,118.4397668
100005212,,6000 SEPULVEDA BLVD ,CULVER CITY,XXXXX,CA,33.9854146,118.3933069
140001700,,2995 IOWA AVE ,RIVERSIDE,XXXXX,CA,33.9857597,117.3415367
140001812,,19756 COLIMA RD ,ROWLAND HEIGHTS,XXXXX,CA,33.9862908,117.8701074
140031230,,6010 PACIFIC BLVD ,HUNTINGTON PARK,XXXXX,CA,33.9865194,118.223697
100009104,,5601 E SLAUSON AVE STE 211 ,COMMERCE,XXXXX,CA,33.9865868,118.1641236
100035134,,4308 SLAUSON AVE ,MAYWOOD,XXXXX,CA,33.9867981,118.1897
140002760,,4400 SLAUSON AVE ,MAYWOOD,XXXXX,CA,33.9868622,118.1875064
140013034,,5850 S VERMONT ,LOS ANGELES,XXXXX,CA,33.9872628,118.2900303
140022791,,3300 W SLAUSON AVE ,LOS ANGELES,XXXXX,CA,33.987443,118.3298462
140002513,,19725 COLIMA RD ,ROWLAND HEIGHTS,XXXXX,CA,33.9876951,117.8720761
140002834,,1820 W SLAUSON AVE ,LOS ANGELES,XXXXX,CA,33.9879422,118.3107762
140040695,,5824 S VERMONT AVE ,LOS ANGELES,XXXXX,CA,33.9881733,118.2896939
100040966,,944 E SLAUSON AVE ,LOS ANGELES,XXXXX,CA,33.9888678,118.2583998
140047519,,1100 W SLAUSON AVE ,LOS ANGELES,XXXXX,CA,33.9889963,118.2933083
140040930,,1100 WEST SLAUSON AVE ,LOS ANGELES,XXXXX,CA,33.9889963,118.2933083
100000602,,5699 RICKENBACKER RD ,BELL,XXXXX,CA,33.9899685,118.1633751
140002531,,17120 COLIMA RD ,HACIENDA HEIGHTS,XXXXX,CA,33.9899849,117.9346943
140010699,,6101 ROSEMEAD BLVD ,PICO RIVERA,XXXXX,CA,33.9919851,118.0918598
140020226,,17751 COLIMA RD ,ROWLAND HEIGHTS,XXXXX,CA,33.9921289,117.9185109
200487103,,13463 WASHINGTON BLVD ,MARINA DEL REY,XXXXX,CA,33.9931943,118.447166
140002418,,13401 WASHINGTON BLVD ,MARINA DEL REY,XXXXX,CA,33.993507,118.4457391
140016393,,4700 INGLEWOOD BLVD ,LOS ANGELES,XXXXX,CA,33.9938312,118.4146573
100035133,,4700 INGLEWOOD BLVD ,CULVER CITY,XXXXX,CA,33.9938312,118.4146573
140001758,,14250 CHINO HILLS PKWY ,CHINO HILLS,XXXXX,CA,33.9938562,117.7588692
200058512,,3951 GRAND AVE ,CHINO,XXXXX,CA,33.99391,117.71805
140002762,,5318 S MAIN ST ,LOS ANGELES,XXXXX,CA,33.9940062,118.273401
200542542,,17550 CASTLETON ST ,CITY OF INDUSTRY,XXXXX,CA,33.9940139,117.922227
200019408,,5496 LINDBERGH LN ,BELL,XXXXX,CA,33.9946713,118.1713951
140027319,,18204 GALE AVE ,ROWLAND HEIGHTS,XXXXX,CA,33.9948752,117.9064547
140006271,,2122 S HACIENDA BLVD ,HACIENDA HEIGHTS,XXXXX,CA,33.9949708,117.9672764
140038713,,3943 GRAND AVE ,CHINO,XXXXX,CA,33.9955043,117.7200268
140001816,,1155 CALIMESA BLVD ,CALIMESA,XXXXX,CA,33.9959056,117.0567619
200315909,,17835 GALE AVE ,CITY OF INDUSTRY,XXXXX,CA,33.9960678,117.9154769
140006527,,11030 JEFFERSON BLVD ,CULVER CITY,XXXXX,CA,33.9967446,118.3937633
140001727,,5571 MISSION BLVD ,RIVERSIDE,XXXXX,CA,33.9976104,117.4055226
140047754,,4398 AYERS AVE ,VERNON,XXXXX,CA,33.9981301,118.183759
140099882,,4398 AYERS AVE ,VERNON,XXXXX,CA,33.9981301,118.183759
